ID,Cena,localization,latitude,longitude,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6088118229,89990.0,"Jubilerska 6 - 04-190 Warszawa, Praga-Południe (Polska)",52.23568665,21.11739581667412,Firmy,Osobowe,Abarth,595,Benzyna,145,1400,3,Manualna,,,,Biały,300,2021,Na przednie koła,,Auta małe,,4,,,,Tak,,Używane,,05/08/2021,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-cabrio-1-4-145km-elaborabile-3452-demo-ID6E17Fj.html#49f0648cc2
6089065337,209900.0,"ul. Krasnobrodzka 5 - 03-214 Warszawa, Targówek (Polska)",52.30088845,21.040689195939315,Firmy,Osobowe,Alfa Romeo,Stelvio,Benzyna,280,1998,5,Automatyczna,,,,Biały,1,2021,4x4 (dołączany automatycznie),,SUV,,5,,,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-ti-2-0t-280km-at8-2021-q4-2021r-ID6E563f.html#dbeb45c2c8
6088287781,15700.0,"Malanów, turecki, Wielkopolskie",51.9535764,18.392438,Osoby prywatnej,Osobowe,Alfa Romeo,159,Diesel,150,1910,4,Manualna,1.9JTDM Distinctive,,,Brązowy,185000,2008,,8,Kombi,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-159-alfa-romeo-159-oryginalny-niski-przebieg-ID6E1PM1.html#dbeb45c2c8
6089250012,155000.0,,,,Firmy,Osobowe,Alfa Romeo,Stelvio,Benzyna,280,1956,5,Automatyczna,,,,Czerwony,85651,2018,4x4 (dołączany automatycznie),,SUV,,5,Metalik,Polska,Tak,,Tak,Używane,,28/12/2018,PO5JK25,Tak,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-po5jk25-2-0-turbo-280km-q4-automat-executive-2018-ID6E5S5S.html#dbeb45c2c8
6086786722,153799.0,,,,Firmy,Osobowe,Alfa Romeo,Stelvio,Benzyna,280,1995,5,Automatyczna,,,,Szary,30276,2019,4x4 (dołączany automatycznie),,SUV,,5,Metalik,Polska,Tak,,Tak,Używane,,12/04/2019,WE043VY,Tak,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-alfa-romeo-stelvio-2-0-multiair-turbo-executive-ID6DWxho.html#dbeb45c2c8
6088937689,152520.0,"Wrocław, Dolnośląskie, Krzyki",51.0711937,17.0043425,Osoby prywatnej,Osobowe,Alfa Romeo,Stelvio,Benzyna,200,1995,5,Automatyczna,2.0 Turbo B-Tech Edition Q4,,,Biały,85500,2019,4x4 (stały),9,SUV,183,5,Metalik,Polska,Tak,Tak,Tak,Używane,,11/07/2019,,Tak,,,,,Tak,,,,Tak,1 828 PLN,,,,,33,85 400 PLN,,,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-stelvio-b-tech-edition-200-km-benzyna-doposazone-ID6E4yQp.html#dbeb45c2c8
6089632419,23500.0,"Kielce, Świętokrzyskie",50.85403585,20.609914352101452,Osoby prywatnej,Osobowe,Alfa Romeo,Giulietta,Diesel,105,1598,5,Manualna,,,,Biały,200000,2011,,6,Kompakt,,5,,,,,,Używane,,,,,,,,,,6,5,,,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-giulietta-przepiekna-giulietta-ID6E7tzJ.html#dbeb45c2c8
6088847024,7900.0,"Sagaje 1 - 07-300 Ostrów Mazowiecka, ostrowski, Mazowieckie (Polska)",52.7636751,21.920605899999998,Firmy,Osobowe,Alfa Romeo,147,Benzyna,150,1970,3,Manualna,2.0 T.S Distinctive,,,Szary,175000,2004,Na przednie koła,12,Kompakt,211,5,Metalik,Szwajcaria,,,Tak,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-147-147-tourismo-internazionale-servisowany-zamiana-ID6E4bg4.html#dbeb45c2c8
6085650259,249900.0,,,,Firmy,Osobowe,Alfa Romeo,Stelvio,Benzyna,280,1995,5,Automatyczna,2.0 Turbo Veloce Q4,,,Czarny,1,2021,4x4 (stały),8,SUV,158,5,,,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-veloce-280-km-oferta-wrzesniowa-249900-zl-brutto-ID6DQLDl.html#dbeb45c2c8
6088841349,199900.0,"ul. Krasnobrodzka 5 - 03-214 Warszawa, Targówek (Polska)",52.30088845,21.040689195939315,Firmy,Osobowe,Alfa Romeo,Giulia,Benzyna,280,1995,5,Automatyczna,,,,Czarny,5,2021,4x4 (dołączany automatycznie),,Sedan,,5,Metalik,Polska,,Tak,,Nowe,,,,,,,Tak,,,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/alfa-romeo-giulia-giulia-veloce-2-0-gme-turbo-q4-at8-my21-2021r-ID6E49Mx.html#dbeb45c2c8
