ID,Cena,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6088018047,25400.0,Firmy,Osobowe,Abarth,Grande Punto,Benzyna,155,1368,3,Manualna,,,,Biały,183900,2008,Na przednie koła,,Kompakt,,5,,Niemcy,,Tak,Tak,Używane,Tak,,,Tak,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-1-4-turbo-tuning-skora-kubly-ledy-klimatronik-gwint-ID6E0HBt.html#f133bffbe6
6085684096,122850.0,Firmy,Osobowe,Abarth,595,Benzyna,180,1368,3,Automatyczna,,,,Niebieski,5,2021,Na przednie koła,,Kompakt,,4,,Polska,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-competizione-1-4-180-km-ID6DQUr6.html#f133bffbe6
6080145032,46900.0,Firmy,Osobowe,Abarth,500,Benzyna,180,1398,3,Automatyczna,,,,Czerwony,150659,2015,Na przednie koła,,Auta małe,,4,,,,,,Używane,Tak,,,Tak,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-bardzo-ladny-zadbany-ID6DtFtm.html#f133bffbe6
6088068267,18500.0,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,82,1300,2,Manualna,,,,Czarny,86000,2009,Na przednie koła,,Auta małe,,4,Metalik,Niemcy,,,,Używane,,10/06/2009,,,,Tak,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-fiat-500-ID6E0UFt.html#f133bffbe6
6088331767,34900.0,Firmy,Osobowe,Abarth,500,Benzyna,135,1400,3,Manualna,,,,Biały,125901,2008,Na przednie koła,,Auta małe,155,4,Metalik,,,,,Używane,Tak,,,,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-abarth-500-piekny-i-szybki-gwarancja-finansowanie-ID6E21dt.html#f133bffbe6
6087447531,69900.0,Firmy,Osobowe,Abarth,595,Benzyna,180,1368,3,Manualna,,,,Czarny,54000,2017,Na przednie koła,,Auta małe,139,4,,,Tak,,Tak,Używane,Tak,14/12/2017,,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-competizione-180-km-ID6DYjbB.html#f133bffbe6
6088330067,23500.0,Osoby prywatnej,Osobowe,Abarth,Grande Punto,Benzyna,155,1368,3,Manualna,,,,Czarny,240666,2008,Na przednie koła,9,Auta miejskie,,4,Metalik,,,,,Używane,,,WPI7287A,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-abarth-t-jet-z-prywatnych-rak-agp-ID6E20M3.html#f133bffbe6
6085846018,34900.0,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,140,1400,3,Manualna,,,,Szary,117000,2015,Na przednie koła,,Auta miejskie,,,,,Tak,,,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-abarth-klimatronik-panoramadach-ID6DRAyK.html#f133bffbe6
6088537842,31900.0,Firmy,Osobowe,Abarth,Grande Punto,Benzyna,163,1400,3,Manualna,,,,Biały,190000,2011,Na przednie koła,,Coupe,,3,Metalik,Austria,Tak,Tak,Tak,Używane,Tak,,,,,,,,,,,,,,,3 miesięcy,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-abarth-punto-199-supersport-serwis-bezwypadek-1wlasciciel-ID6E2SPg.html#f133bffbe6
6085684132,88500.0,Firmy,Osobowe,Abarth,595,Benzyna,145,1368,3,Manualna,,,,Szary,5,2021,Na przednie koła,,Kompakt,,4,,Polska,,Tak,,Nowe,,,,,,,,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-1-4-145-km-ID6DQUrG.html#f133bffbe6
